YEAR,JUN,JUL,AUG,SEP,JN-SP
1901,270.2,340.3,400,255.9,1266.4
1902,312.6,438.3,337.7,373,1461.6
1903,345.8,249.5,411.8,273.8,1280.9
1904,321.3,452.7,372.6,198.5,1345.2
1905,235.4,446.6,484.3,316.2,1482.6
1906,284.2,436,425.8,230.2,1376.1
1907,374.4,381.8,311.5,295.4,1363.1
1908,287.2,384.3,304.8,260.7,1237
1909,475.2,307.1,441,236.6,1460
1910,398.4,458.7,368.3,261.3,1486.8
1911,407.8,367.3,394.8,322.9,1492.8
1912,276.7,436.2,370.6,183.1,1266.5
1913,470,387.6,372.7,245.9,1476.2
1914,240.5,366.9,429.6,209.9,1246.9
1915,309.4,432.7,406.9,244.4,1393.4
1916,474.1,412.2,415.2,316.5,1618
1917,457.4,482.9,373.3,313.3,1627
1918,638.9,580.4,552.7,318.4,2090.5
1919,457.9,503.3,311.7,357.2,1630
1920,363.8,441.8,465.3,330.7,1601.6
1921,491.3,572.1,488.7,350.6,1902.6
1922,583.6,506.4,427.7,276.7,1794.4
1923,357.3,511.7,352.6,309.1,1530.8
1924,452.9,570,418.9,345.1,1786.9
1925,314.9,429.3,418.4,422,1584.5
1926,326.9,603,388,256.4,1574.3
1927,428.5,495.4,393.3,471.7,1788.9
1928,498.5,513.7,466.5,304.4,1783.1
1929,490.2,448.5,402,243,1583.6
1930,409.9,377,469.6,322.2,1578.7
1931,429.8,640.9,300,322.4,1693.1
1932,472.1,381.8,443.5,340.1,1637.5
1933,420.4,473.4,498.5,253.1,1645.5
1934,494.4,528.5,378.6,278.1,1679.5
1935,485.6,355.5,582.6,359.5,1783.2
1936,412.5,577.3,401.6,388.2,1779.7
1937,332.4,397.5,503,279.8,1512.8
1938,594.6,543.5,465.6,395.5,1999.3
1939,483,508.6,325.3,337.6,1654.5
1940,334.3,485.6,349.6,343.6,1513.1
1941,427.8,472.5,457,329.5,1686.8
1942,476.2,377.2,392.4,397.2,1643
1943,399.8,443.2,427.2,361.7,1631.9
1944,436.5,393.6,372.4,368,1570.5
1945,335.8,461.2,439.6,299.6,1536.3
1946,381.4,568.1,354.5,327.4,1631.4
1947,373.3,589.4,337.1,340.1,1639.9
1948,413.6,753.4,416.3,296.2,1879.5
1949,484.6,505.9,446.4,329,1766
1950,431.9,371.2,402.8,206.8,1412.7
1951,404.4,419.3,314.9,217,1355.5
1952,314.9,422.6,386.6,310.9,1434.9
1953,358.9,453.6,321.9,393.1,1527.4
1954,378,425.7,366.5,236,1406.2
1955,317.3,503.8,353.6,225.5,1400.2
1956,503.3,351,363.3,292.7,1510.2
1957,335.7,541.1,366.4,275.2,1518.4
1958,263.4,334.6,598.2,348.1,1544.3
1959,388.2,461.9,302.4,330.1,1482.7
1960,320.7,556.5,322.5,463.2,1663
1961,355.7,359.2,372.3,250.3,1337.6
1962,470.7,367.8,543.7,197,1579.2
1963,451.3,492.7,469.1,306.8,1720
1964,485.9,652,295.5,290.5,1723.9
1965,322.5,369.3,360.4,242.5,1294.9
1966,427,337.2,389.2,199.5,1352.8
1967,237.7,399.6,317.5,290.6,1245.4
1968,425.6,440.7,366.6,177,1409.9
1969,365.3,465.3,536,244.6,1611.1
1970,420,496.3,383.2,394.4,1693.8
1971,407.4,459.1,466.2,259.1,1591.9
1972,257.2,327.4,291.9,231.3,1107.8
1973,398.8,284.3,323.5,322.8,1329.4
1974,333.6,559.9,402,335.5,1630.9
1975,242.9,475.5,250.7,286.3,1255.4
1976,410.9,357.3,338.7,246.7,1353.7
1977,362.7,445.1,407.6,196.3,1411.7
1978,392.7,349,269.5,336.1,1347.4
1979,231.6,480.6,248.1,255.8,1216.1
1980,344.9,428.9,395,280.1,1448.9
1981,268.4,510.2,327.3,237,1342.9
1982,336.1,385,304.8,259.9,1285.8
1983,301.1,423.1,334.5,343.2,1401.9
1984,465.8,563.5,349.1,308.1,1686.5
1985,359.4,509.4,316,314.2,1499
1986,305.8,404.9,306.2,349,1365.9
1987,317.7,569.3,485.6,416,1788.6
1988,343.3,515,541,276.7,1676
1989,355,520.1,279.1,370.5,1524.7
1990,403.2,489.8,322.9,362.3,1578.1
1991,381.6,371,395.9,368.4,1516.9
1992,296.5,425.6,299.6,229.6,1251.3
1993,404.4,418.5,429.5,336,1588.4
1994,335.3,318,307.6,193.5,1154.5
1995,403.6,444.5,411.4,386.5,1646
1996,318.5,406.5,398.6,207.1,1330.6
1997,371.5,469.5,328.6,302.6,1472.3
1998,366.6,520.5,465,250.7,1602.8
1999,351.6,470.5,429.9,292.4,1544.3
2000,368.3,334.7,337.3,359.9,1400.3
2001,351.1,327.9,266.6,254.3,1199.8
2002,323.6,443.4,300.9,251,1318.9
2003,387.5,407.4,292.9,234.2,1322
2004,339.3,533.5,286.9,264,1423.8
2005,236.2,383.5,355.1,189.9,1164.8
2006,337.8,374.8,240.7,289.4,1242.6
2007,339.7,584,345.7,423.5,1692.9
2008,390.6,425.3,388.6,211.5,1416
2009,197.6,316.3,378.8,206.4,1099.1
2010,325.8,313.6,284.9,260.1,1184.4
2011,330.1,345,347.1,273.9,1296
2012,368.8,402.6,286,330.4,1387.9
2013,256.9,289.9,300,222.5,1069.3
2014,266.4,319.1,382.7,277.9,1246.2
2015,346,359.4,396.3,219.1,1320.7
2016,264.2,427.3,253.7,342.3,1287.5
2017,297,439,413.8,253,1402.8
2018,257.3,333.7,277,212,1079.9
2019,224.8,474.7,215.3,330.2,1245
2020,403.5,476.5,287.3,351.1,1518.4
2021,359.6,322.3,350.4,213.2,1245.5
